Tên,Giá,Công nghệ CPU,Số nhân,Số luồng,Tốc độ CPU,Tốc độ tối đa,Bộ nhớ đệm,RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,Màn hình,Độ phân giải,Tần số quét,Công nghệ màn hình,Màn hình cảm ứng,Card màn hình,Công nghệ âm thanh,Cổng giao tiếp,Kết nối không dây,Khe đọc thẻ nhớ,Webcam,Tính năng khác,Đèn bàn phím,"Kích thước, trọng lượng",Chất liệu,Thông tin Pin,Hệ điều hành,Thời điểm ra mắt
Laptop MSI Gaming GF65 Thin 10UE i5 10500H/16GB/512GB/6GB RTX3060 Max-Q/144Hz/Balo/Win10 (286VN),29.090.000₫,Intel Core i5 Comet Lake - 10500H,6,12,2.50 GHz,Turbo Boost 4.5 GHz,12 MB,,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB) Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare Tấm nền IPS,,"Card rời - NVIDIA GeForce RTX 3060 Max-Q, 6 GB",Nahimic Audio Realtek High Definition Audio,"2 x USB 3.2
2 x USB Type-C
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,HD webcam,,Có,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,Vỏ nhựa,"3-cell Li-ion, 51 Wh",Windows 10 Home SL,2021
Laptop MSI Gaming GF63 Thin 10SC i5 10500H/8GB/512GB/4GB GTX1650 Max-Q/144Hz/Balo/Chuột/Win10 (622VN),20.990.000₫,Intel Core i5 Comet Lake - 10500H,6,12,2.50 GHz,Turbo Boost 4.5 GHz,12 MB,8 GB,DDR4 2 khe (1 khe 8GB + 1 khe rời),3200 MHz,64 GB,"Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2TB)",15.6 inch,Full HD (1920 x 1080),144 Hz,Chống chói Anti Glare Công nghệ IPS,,Card rời - GeForce GTX 1650 Max-Q Design,Hi-Res Audio Nahimic Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
USB Type-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,HD webcam,,Có,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,Vỏ nhựa - nắp lưng bằng kim loại,"3-cell Li-ion, 51 Wh",Windows 10 Home SL,2021
Laptop MSI Gaming GE66 Raider 11UH i7 11800H/32GB/2TB SSD/16GB RTX3080/240Hz/Balo/Chuột/Win10 (259VN),77.990.000₫,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,32 GB,DDR4 2 khe (1 khe 16GB + 1 khe 16GB),3200 MHz,64 GB,2 TB SSD NVMe PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2TB),15.6 inch,QHD (2560 x 1440),240 Hz,"100% DCI-P3
Tấm nền IPS
Chống chói Anti Glare",,"Card rời - NVIDIA GeForce RTX 3080, 16 GB","Sound by Dynaudio
Hi-Res Audio
Nahimic Audio","Jack tai nghe 3.5 mm
Thunderbolt 4 USB-C
3 x USB 3.2
HDMI
LAN (RJ45)
Mini DisplayPort
USB Type-C",Bluetooth 5.2 Wi-Fi 6E (802.11ax),SD,FHD (30fps@1080p),Đèn bàn phím chuyển màu RGB,Có,Dài 358 mm - Rộng 267 mm - Dày 23.4 mm - Nặng 2.38 Kg,Vỏ kim loại,"4-cell, 99.9 Wh",Windows 10 Home SL,2021
Laptop MSI Gaming GS66 Stealth 11UG i7 11800H/32GB/2TB SSD/8GB RTX3070 Max-Q/360Hz/Balo/Chuột/Win10 (219VN),64.990.000₫,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,32 GB,DDR4 2 khe (1 khe 16GB + 1 khe 16GB),3200 MHz,64 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2TB) 2 TB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),360 Hz,"100% sRGB
Chống chói Anti Glare
Tấm nền IPS",,"Card rời - NVIDIA GeForce RTX 3070 Max-Q, 8 GB",Hi-Res Audio Nahimic Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Thunderbolt 4 USB-C
USB Type-C",Bluetooth 5.2 Wi-Fi 6E (802.11ax),,Camera IR,Mở khóa khuôn mặt Đèn bàn phím chuyển màu RGB,Có,Dài 358.3 mm - Rộng 248 mm - Dày 19.8 mm - Nặng 2.1 Kg,Vỏ kim loại,"4-cell, 99.9 Wh",Windows 10 Home SL,2021
Laptop Dell XPS 13 9310 i7 1165G7/16GB/512GB/Touch/Pen/Office H&S2019/Win10 (JGNH62),59.490.000₫,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,LPDDR4X (On board),4267 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",13.4 inch,4K/UHD+ (3840 x 2400),60 Hz,500 nits brightness InfinityEdge display,Có,Card tích hợp - Intel Iris Xe Graphics,Realtek High Definition Audio Waves MaxxAudio,2 x Thunderbolt 4 USB-C Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay,Có,Dài 295.7 mm - Rộng 198.7 mm - Dày 14.8 mm - Nặng 1.27 kg,Vỏ kim loại nguyên khối,4-cell Li-ion,Windows 10 Home SL,2020
Laptop MSI Gaming GE66 Raider 11UG i7 11800H/16GB/2TB SSD/8GB RTX3070/360Hz/Balo/Chuột/Win10 (258VN),59.990.000₫,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2TB) 2 TB SSD NVMe PCIe,15.6 inch,Full HD (1920 x 1080),360 Hz,"100% sRGB
Chống chói Anti Glare
Tấm nền IPS",,"Card rời - NVIDIA GeForce RTX 3070, 8 GB","Hi-Res Audio
Nahimic Audio
Sound by Dynaudio","3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Mini DisplayPort
Thunderbolt 4 USB-C
USB Type-C",Bluetooth 5.2 Wi-Fi 6E (802.11ax),SD,FHD (30fps@1080p),Đèn bàn phím chuyển màu RGB,Có,Dài 358 mm - Rộng 267 mm - Dày 23.4 mm - Nặng 2.38 Kg,Vỏ kim loại,"4-cell, 99.9 Wh",Windows 10 Home SL,2021
Laptop HP Omen 15 ek0078TX i7 10750H/16GB/1TB SSD/8GB RTX2070 Max-Q/300Hz/Office H&S2019/Win10 (26Y68PA),55.490.000₫,Intel Core i7 Comet Lake - 10750H,6,12,2.60 GHz,Turbo Boost 5.0 GHz,12 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),2933 MHz,32 GB,SSD 1 TB M.2 PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,15.6 inch,Full HD (1920 x 1080),300 Hz,"Tấm nền IPS
Chống chói Anti Glare
LED Backlit
100% sRGB",,"Card rời - NVIDIA GeForce RTX2070 With Max-Q Design, 8 GB","HP Audio Boost
Bang & Olufsen audio
DTS X:Ultra Audio","Jack tai nghe 3.5 mm
HDMI
LAN (RJ45)
Thunderbolt 3
Mini DisplayPort
3x SuperSpeed USB A",Bluetooth 5.0 Wi-Fi 6 (802.11ax),SD,HD webcam,,Có,Dài 357.9 mm - Rộng 239.7 mm - Dày 22.5 mm - Nặng 2.36 kg,Kim loại và polycarbonate,"6-cell Li-ion, 70.9 Wh",Windows 10 Home SL + Office Home & Student 2019 vĩnh viễn,2020
Laptop LG Gram 17 2021 i7 1165G7/16GB/1TB SSD/Win10 (17Z90P-G.AH78A5),54.890.000₫,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng SSD 1 TB M.2 PCIe,17 inch,WQXGA (2560 x 1600),,"60Hz
Chống chói Anti Glare
Tấm nền IPS",,Card tích hợp - Intel Iris Xe Graphics,DTS X:Ultra Audio,"2 x Thunderbolt 4 USB-C
2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm",Bluetooth 5.1 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay Tiêu chuẩn Nền Intel Evo,Có,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,Hợp kim Nano Carbon - Magie,"2-cell Li-ion, 80 Wh",Windows 10 Home Standard,
Laptop LG Gram 17 2021 i7 1165G7/16GB/512GB/Win10 (17Z90P-G.AH76A5),52.890.000₫,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng 512 GB SSD NVMe PCIe,17 inch,WQXGA (2560 x 1600),,"60Hz
Chống chói Anti Glare
Tấm nền IPS",,Card tích hợp - Intel Iris Xe Graphics,DTS X:Ultra Audio,"2 x Thunderbolt 4 USB-C
2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm",Bluetooth 5.1 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay Tiêu chuẩn Nền Intel Evo,Có,Dài 380.2 mm - Rộng 260.1 mm - Dày 17.8 mm - Nặng 1.35 kg,Hợp kim Nano Carbon - Magie,"2-cell Li-ion, 80 Wh",Windows 10 Home Standard,
Laptop MSI Gaming GP76 11UG i7 11800H/16GB/1TB SSD/8GB RTX3070/240Hz/Balo/Chuột/Win10 (435VN),52.990.000₫,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,64 GB,SSD 1 TB M.2 PCIe Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng,17.3 inch,Full HD (1920 x 1080),240 Hz,Tấm nền IPS,,"Card rời - NVIDIA GeForce RTX 3070, 8 GB",Nahimic Audio,"Jack tai nghe 3.5 mm
3 x USB 3.2
HDMI
LAN (RJ45)
Mini DisplayPort",Bluetooth 5.2 Wi-Fi 6 (802.11ax),SD,HD webcam,Đèn bàn phím chuyển màu RGB,Có,Dài 397 mm - Rộng 284 mm - Dày 25.9 mm - Nặng 2.9 kg,Vỏ kim loại,"4-cell Li-ion, 65 Wh",Windows 10 Home SL,2021
Laptop Apple MacBook Pro M1 2020 16GB/1TB SSD,52.990.000₫,Apple M1,,,,,,16 GB,,,Không hỗ trợ nâng cấp,1 TB SSD,13.3 inch,Retina (2560 x 1600),,"500 nits brightness
LED Backlit
Retina
True Tone Technology
Tấm nền IPS",,Card tích hợp - 8 nhân GPU,"3 microphones
Dolby Atmos
Loa kép (2 kênh)",2 x Thunderbolt 3 (USB-C) Jack tai nghe 3.5 mm,Bluetooth 5.0 Wi-Fi 6 (802.11ax),,HD webcam,Bảo mật vân tay,Có,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,Vỏ kim loại nguyên khối,Khoảng 10 tiếng,Mac OS,2020
Laptop LG Gram 16 2021 i7 1165G7/16GB/512GB/Win10 (16Z90P-G.AH75A5),50.890.000₫,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng 512 GB SSD NVMe PCIe,16 inch,WQXGA (2560 x 1600),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,DTS X:Ultra Audio,"2 x Thunderbolt 4 USB-C
2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm",Bluetooth 5.1 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay Tiêu chuẩn Nền Intel Evo,Có,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,Hợp kim Nano Carbon - Magie,"2-cell Li-ion, 80 Wh",Windows 10 Home Standard,
Laptop Acer Predator Triton 300 PT315 53 71DJ i7 11800H/16GB/512GB/8GB RTX3070/165Hz/Win10 (NH.QDSSV.001),49.990.000₫ *,Intel Core i7 Tiger Lake - 11800H,8,16,2.30 GHz,Turbo Boost 4.6 GHz,24 MB,16 GB,DDR4 2 khe (1 khe 8GB + 1 khe 8GB),3200 MHz,32 GB,"Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1TB) 512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1TB)",15.6 inch,QHD (2560 x 1440),165 Hz,"Acer ComfyView
Công nghệ IPS
LED Backlit
TFT",,"Card rời - NVIDIA GeForce RTX 3070, 8 GB",DTS X:Ultra Audio,"3 x USB 3.2
HDMI
Jack tai nghe 3.5 mm
LAN (RJ45)
Mini DisplayPort
Thunderbolt 4 USB-C",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,HD webcam,Công nghệ quạt AeroBlade™ 3D thế hệ 5 2 quạt tản nhiệt Đèn bàn phím chuyển màu RGB,Có,Dài 353 mm - Rộng 255 mm - Dày 19.9 mm - Nặng 2 kg,Vỏ kim loại,"4-cell Li-ion, 59 Wh",Windows 10 Home SL,2021
Laptop Lenovo Yoga 9 14ITL5 i7/1185G7/16GB/1TB SSD/Touch/Pen/Win10 (82BG006EVN),49.490.000₫ *,Intel Core i7 Tiger Lake - 1185G7,4,8,3.00 GHz,Turbo Boost 4.8 GHz,12 MB,16 GB,LPDDR4 (On board),4266 MHz,Không hỗ trợ nâng cấp,SSD 1 TB M.2 PCIe,14 inch,4K/UHD (3840 x 2160),,"500 nits Glossy
90% DCI-P3
HDR Vesa400
Tấm nền IPS",Có,Card tích hợp - Intel Iris Xe Graphics,Dolby Atmos Stereo speakers,"1 x USB 3.2
2 x Thunderbolt 4 USB-C
Jack tai nghe 3.5 mm",Bluetooth 5.1 Wi-Fi 6 (802.11ax),,HD webcam,"Bảo mật vân tay
Công tắc khóa camera
Tiêu chuẩn Nền Intel Evo",Có,Dài 319.4 mm - Rộng 216.4 mm - Dày 15.7 mm - Nặng 1.37 kg,Vỏ kim loại,"Li-Polymer, 60 Wh",Windows 10 Home SL,2021
Laptop LG Gram 16 2021 i7 1165G7/16GB/256GB/Win10 (16Z90P-G.AH73A5),48.890.000₫,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng 256 GB SSD NVMe PCIe,16 inch,WQXGA (2560 x 1600),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,DTS X:Ultra Audio,"2 x Thunderbolt 4 USB-C
2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm",Bluetooth 5.1 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay Tiêu chuẩn Nền Intel Evo,Có,Dài 355.9 mm - Rộng 243.4 mm - Dày 16.8 mm - Nặng 1.19 kg,Hợp kim Nano Carbon - Magie,"2-cell Li-ion, 80 Wh",Windows 10 Home Standard,
Laptop LG Gram 14 2021 i7 1165G7/16GB/512GB/Win 10 (14Z90P-G.AH75A5),47.890.000₫,Intel Core i7 Tiger Lake - 1165G7,4,8,2.80 GHz,Turbo Boost 4.7 GHz,12 MB,16 GB,LPDDR4X (On board),4266 MHz,Không hỗ trợ nâng cấp,Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng 512 GB SSD NVMe PCIe,14 inch,WUXGA (1920 x 1200),60 Hz,Chống chói Anti Glare Tấm nền IPS,,Card tích hợp - Intel Iris Xe Graphics,DTS X:Ultra Audio,"2 x Thunderbolt 4 USB-C
2 x USB 3.2
HDMI
Jack tai nghe 3.5 mm",Bluetooth 5.1 Wi-Fi 6 (802.11ax),Micro SD,HD webcam,Bảo mật vân tay Tiêu chuẩn Nền Intel Evo,Có,Dài 313.4 mm - Rộng 215.2 mm - Dày 16.8 mm - Nặng 0.999 kg,Hợp kim Nano Carbon - Magie,"4-cell Li-ion, 72 Wh",Windows 10 Home Standard,2021
